Japan Credit Bureau,JCB,3579590271370970,Brendon R Mercier,871,11/2012,11/2024,1,1296,29700
Diners Club International,Diners Club,30903698918330,Joanne Mccullough,995,09/2008,09/2028,1,6460,134200
Japan Credit Bureau,JCB,3537775104285203,Hubert O Bartholomew,180,11/2008,11/2013,9,1497,14500
American Express,American Express,379937223519790,Martin Molina,2639,10/2009,10/2027,17,6673,65500
Japan Credit Bureau,JCB,3561626807219925,Katheryn Wolf,148,06/2016,06/2019,21,4659,16300
Visa,Chase,4421311527786580,Crystal W Clark,114,09/2011,09/2029,23,7038,30900
Japan Credit Bureau,JCB,3569836739905176,Carroll B James,931,03/2015,03/2024,20,264,41700
Master Card,Citibank,5325373502424961,Teresa Glenn,742,01/2014,01/2024,13,1370,118800
Diners Club International,Diners Club,30349539953617,Tomas O Guenther,673,04/2007,04/2008,28,70,70500
Master Card,Chase,5327929019317978,Raymond O Page,484,06/2013,06/2024,12,4790,34500
Visa,Citibank,4247446628796328,Yesenia Y Teague,430,10/2008,10/2010,23,7546,150300
Diners Club International,Diners Club,30518364878608,Darrell W Harrison,931,11/2015,11/2019,20,406,53100
Master Card,Bank of America,5361374913450103,Concepcion Scroggins,106,08/2016,08/2025,3,2819,105000
American Express,American Express,347009468783579,Brandon L Bishop,5526,02/2007,02/2017,28,9476,86100
Visa,Barclays,4217468379892466,Booker U Sinclair,523,07/2017,07/2034,22,7191,148000
American Express,USAA,349587852150552,Edward J Hall,4140,05/2017,05/2033,26,2860,29700
Discover,Discover,6011645937175236,Darline Craddock,770,10/2007,10/2008,4,3789,123100
Visa,Chase,4432485164334032,Tiffany Wiggins,856,01/2016,01/2033,26,4068,45000
Visa,Chase,4586168671701216,Betty U Mckeown,944,09/2016,09/2018,2,3409,89200
Master Card,Barclays,5225997501134584,Joyce E Mckenzie,586,07/2008,07/2020,8,6729,40100
Visa,PNC,4527448743586635,Vern X Ramsey,100,11/2016,11/2018,22,7117,67600
Discover,Discover,6223322241015987,Evelyn P Lawrence,532,06/2015,06/2034,3,1781,142400
Visa,Chase,4572466979667097,Evelyn Ligon,450,04/2016,04/2027,11,9676,52100
Diners Club International,Diners Club,30402851447997,Shawn Mann,718,08/2012,08/2030,23,2205,193800
American Express,American Express,373894406553268,Melva N Mota,3984,01/2017,01/2033,27,348,96600
Japan Credit Bureau,JCB,3547250924875037,Juanita R Turner,933,02/2017,02/2036,17,5607,153100
Diners Club International,Diners Club,30968657957629,Dannie Martinson,770,08/2012,08/2018,9,145,154000
Diners Club International,Diners Club,38322820662363,Janet L Freeman,339,05/2016,05/2028,3,7462,103900
Japan Credit Bureau,JCB,3564732238658454,Hobert P Todd,140,06/2008,06/2009,27,7090,147400
Discover,Discover,6452997572318886,Nicholas Y Juarez,413,05/2007,05/2021,5,343,135200
Master Card,Bank of America,5144404300879384,Anton Z Godwin,359,06/2011,06/2015,28,3546,42700
American Express,American Express,347487869477530,Bernard Frazier,8231,07/2013,07/2020,5,6930,30300
Discover,Discover,6011337631415189,Loida Z Halstead,690,01/2012,01/2020,25,2174,117000
Diners Club International,Diners Club,30400251787491,Vernon U Sheppard,92,01/2011,01/2025,14,7126,76100
American Express,U.S. Bancorp,341465352659968,Tashia F Steinberg,4462,11/2017,11/2023,28,9596,147600
Master Card,Citibank,5212586127031079,Paula S Sosa,864,01/2011,01/2025,15,2083,170300
Visa,Cabela�s WFB,4849636990986257,Zenia Clegg,560,03/2007,03/2026,2,9305,91600
Discover,Discover,6011038820512998,Matthew A Madden,674,08/2016,08/2030,10,460,157400
Diners Club International,Diners Club,30528509169771,Rheba L Castro,71,11/2014,11/2030,15,7905,126000
Master Card,Bank of America,5118023019872928,Rebecca A Sweet,333,07/2013,07/2023,22,4716,185500
Master Card,Barclays,5195293666286351,Nilda A Kinard,415,04/2011,04/2015,27,1225,51800
Diners Club International,Diners Club,30080548401088,Glen S Mccarty,954,03/2017,03/2037,4,7752,116200
Discover,Discover,6011933714512924,Len O Blanks,191,01/2011,01/2030,2,9383,18500
Discover,Discover,6011259381673942,Jessica O Whitley,346,07/2011,07/2028,28,2726,108700
American Express,U.S. Bancorp,375076508489157,Wes Branson,239,11/2012,11/2018,8,2361,197000
Master Card,Citibank,5483159393314090,Yolanda E Rutledge,773,01/2014,01/2028,17,1337,174300
Master Card,Bank of America,5457307145215279,Catheryn Cain,706,08/2014,08/2021,21,143,121400
American Express,American Express,370281526606205,Oscar Q Rodgers,2747,02/2013,02/2030,23,8399,155900
American Express,Bank of America,342382012695002,Valentine Humes,4786,07/2016,07/2025,6,3990,175500
Diners Club International,Diners Club,30584257466885,Miguel P Justice,9,05/2011,05/2019,26,3017,115300
Master Card,Capital One,5282295900176433,Shanna U Hsu,126,02/2017,02/2031,20,7910,145900
Discover,Discover,6226428431376837,Juanita N Watts,894,09/2014,09/2016,13,9182,17200
Visa,Bank of America,4961134529187300,Nana J Wilbur,871,09/2013,09/2021,2,1887,74200
Japan Credit Bureau,JCB,3584101278506336,Sandra F Berry,323,05/2011,05/2030,27,1084,118400
Master Card,Citibank,5442730356521028,Napoleon C Stephen,53,07/2010,07/2017,24,927,136300
Discover,Discover,6011245276113565,Shirley Melendez,579,05/2013,05/2029,7,972,94700
Japan Credit Bureau,JCB,3587129701891618,Bryce English,492,06/2015,06/2028,3,6489,124000
Japan Credit Bureau,JCB,3566002777243458,Carmen C Holden,919,05/2015,05/2027,22,9859,120400
Japan Credit Bureau,JCB,3540755203328208,Rosy X Kelly,284,06/2015,06/2023,20,9361,104100
Discover,Discover,6221723863405533,Roger F Gallegos,288,11/2015,11/2033,3,3895,127600
Diners Club International,Diners Club,39509971824284,Jestine D Hannan,702,10/2007,10/2016,18,5545,73400
American Express,American Express,342716933708560,Amanda Nolan,2551,05/2011,05/2020,9,1717,174700
Diners Club International,Diners Club,30435533484897,Minna X Booth,571,02/2008,02/2011,25,9209,90900
Japan Credit Bureau,JCB,3585375013017234,Melissa Bell,804,09/2009,09/2027,13,585,145900
Master Card,Capital One,5464787635749583,Latashia Mull,409,07/2013,07/2018,8,9275,130100
Master Card,Citibank,5186330413599651,Patrick Middleton,676,09/2010,09/2028,16,1623,98000
American Express,American Express,348146374924126,Dwain U Doss,9990,07/2016,07/2025,2,8703,88000
Diners Club International,Diners Club,30259821334097,Wayne R Dunlap,219,04/2016,04/2034,14,6969,140100
Discover,Discover,6011835807565919,Claudia Z Thao,27,12/2015,12/2022,16,8027,48900
Master Card,USAA,5162651713579491,Pamela Clayton,146,12/2011,12/2025,19,4159,115200
Diners Club International,Diners Club,30545875252734,Elvia Fain,337,04/2011,04/2023,8,7219,193600
Diners Club International,Diners Club,30393380441298,Eugene H Steele,452,11/2009,11/2019,15,5544,159700
Japan Credit Bureau,JCB,3567878204237836,Fabian V Flanigan,46,06/2011,06/2029,21,2431,168300
Diners Club International,Diners Club,30237077730366,Ronald P Ware,911,08/2013,08/2029,16,3060,29900
Discover,Discover,6011456851188225,Dean J Platt,401,06/2012,06/2021,9,6682,57900
Diners Club International,Diners Club,30573059353565,Grace J Rosa,482,05/2013,05/2015,13,1163,78400
American Express,American Express,343068404991856,Estrella P Coppola,3285,06/2010,06/2030,28,6056,24000
Discover,Discover,6011699010139171,Linda G Sweet,86,11/2015,11/2016,20,3240,154700
Japan Credit Bureau,JCB,3582687872593334,Yevette O Weis,781,06/2010,06/2021,11,5470,85600
Diners Club International,Diners Club,30375830035093,Bradley C Moss,966,02/2016,02/2021,27,9311,167300
Discover,Discover,6011940189578579,Margaretta S Huffman,675,08/2007,08/2010,17,570,49800
Japan Credit Bureau,JCB,3543021817260221,Aaron Harvey,501,01/2009,01/2018,2,5327,197400
American Express,American Express,348348556471500,Jerold L Steiner,8554,05/2016,05/2033,5,4826,24900
Diners Club International,Diners Club,30563241137653,Wesley G Hensley,884,08/2009,08/2021,9,6891,195100
Discover,Discover,6011769346193711,Orval X Fitzgerald,370,08/2009,08/2027,16,3388,96500
American Express,Bank of America,377533393389528,Tyler Lang,374,01/2007,01/2013,11,2694,95000
Diners Club International,Diners Club,30159847410675,Simone W Yount,613,12/2014,12/2019,27,7757,76000
Discover,Discover,6011677189786485,Andrew Stewart,596,01/2013,01/2024,1,5503,96100
Visa,USAA,4107086801385777,Kirk V Ledesma,38,05/2017,05/2034,13,7838,87600
Japan Credit Bureau,JCB,3553101707226552,Alice S Mcneil,357,12/2007,12/2008,21,988,136500
American Express,U.S. Bancorp,341297678051889,Lemuel Sallee,8963,01/2008,01/2010,2,445,145200
Diners Club International,Diners Club,36698956366164,Cathy Schultz,728,12/2013,12/2032,12,7225,116000
American Express,American Express,349865666658535,Valentine F Mcginnis,4104,03/2007,03/2020,14,5809,153300
Master Card,Citibank,5483849560427333,Rachel T Benson,102,03/2012,03/2032,8,164,180600
Visa,Chase,4028514203859574,Angelika Ritter,412,05/2010,05/2029,17,6154,97200
Discover,Discover,6011352552085812,Judith B Pitts,139,07/2008,07/2010,12,2895,54500
Visa,Chase,4221491731438806,Sidney Z Carney,270,05/2008,05/2022,25,2912,51200
Diners Club International,Diners Club,30147886920209,Valerie K Morin,162,09/2008,09/2019,8,9013,63400
Master Card,Bank of America,5240483351468175,Mathilda Q Gayle,657,02/2012,02/2022,13,1631,55500
American Express,American Express,341261332403795,Steven O Kline,7724,12/2008,12/2024,22,2892,76000
American Express,Bank of America,378778229898270,Mohammed F Bunker,6323,11/2017,11/2026,10,6136,155400
American Express,American Express,370316447402837,Lynn T Mcguire,308,06/2015,06/2021,8,2197,52800
Diners Club International,Diners Club,30524499921560,Petronila K Taylor,839,01/2010,01/2015,10,6018,179300
Diners Club International,Diners Club,30903441917118,Beverly Hahn,507,01/2015,01/2019,15,418,47200
Discover,Discover,6584380106835637,Kelley D Lemaster,259,09/2011,09/2025,1,4000,22000
Japan Credit Bureau,JCB,3576881014028592,Susan Mathis,649,10/2016,10/2036,22,9777,19200
American Express,American Express,346608584812468,Stephan Davidson,4194,02/2009,02/2019,13,2254,108200
Japan Credit Bureau,JCB,3572422147757775,Tom A Buck,666,11/2017,11/2022,13,7277,63100
American Express,American Express,347292409763765,Mervin Luong,7354,10/2009,10/2019,14,9217,43300
Diners Club International,Diners Club,36723933519295,Jeff Burke,549,05/2017,05/2037,25,9246,175800
Master Card,Capital One,5120603793039269,Cornell Gilchrist,198,09/2007,09/2023,2,986,165200
American Express,American Express,346301706794216,Jennifer F Macdonald,2380,04/2017,04/2031,5,2159,69700
Master Card,Bank of America,5322114864121230,Tad B Currie,429,10/2017,10/2031,1,3842,108300
Discover,Discover,6011088252858518,Warren X Jefferson,636,03/2013,03/2033,10,62,154500
Visa,Chase,4469448777611846,Kendall W Burt,227,07/2011,07/2017,13,6969,135900
Visa,First National,4292813674044263,Danny K Hurst,154,09/2011,09/2019,3,1419,104300
American Express,U.S. Bancorp,347191568373426,Marion Osborn,7771,12/2017,12/2030,13,6933,21500
Master Card,Chase,5344838004914179,Ronald P Washington,243,03/2011,03/2021,24,674,30700
American Express,American Express,342308964413300,Candi Harwell,9190,01/2011,01/2025,3,7978,186300
Japan Credit Bureau,JCB,3568482640857726,Joann V Perez,944,06/2011,06/2029,27,2360,13800
Japan Credit Bureau,JCB,3531291021007502,Milton Y Cecil,675,11/2016,11/2034,17,4707,159600
Visa,PNC,4863946455560906,Ronnie Z Whitehead,585,12/2008,12/2016,14,8058,64800
Diners Club International,Diners Club,30917417939617,Chester Q Tyler,402,04/2012,04/2016,8,6210,117000
Discover,Discover,6564565964363326,Suzanne A Montgomery,156,11/2016,11/2036,12,9014,170000
Diners Club International,Diners Club,30916265558750,Dwayne Cotter,334,01/2008,01/2023,18,3194,83900
American Express,American Express,372853005969656,Shane I Kent,6523,08/2010,08/2029,16,9746,111400
Discover,Discover,6477424458495713,Marcelene V Benner,812,10/2008,10/2027,17,2193,186400
Discover,Discover,6011910123372868,Beverly F Villarreal,497,12/2010,12/2023,24,422,142300
Discover,Discover,6536907606434849,Aleta A Abreu,893,03/2015,03/2021,9,3397,52500
American Express,U.S. Bancorp,341302274436821,Lloyd P Fisher,9332,05/2009,05/2023,19,8358,25700
Diners Club International,Diners Club,30453388413861,Lonny Z Hatchett,696,08/2014,08/2020,2,1192,79900
Master Card,Chase,5463820298194812,Tiffany Adkins,968,08/2016,08/2028,19,1416,78900
Master Card,Chase,5255200144930697,Frances P Youngblood,792,06/2014,06/2021,18,8944,108300
Master Card,Bank of America,5178821574147868,Francis G Pennington,672,09/2016,09/2036,21,8635,118700
Japan Credit Bureau,JCB,3542550164101449,Chery Monroe,491,10/2013,10/2033,4,2113,17600
Diners Club International,Diners Club,30966559031139,Michelle K Whitaker,237,12/2008,12/2016,16,5900,44100
Discover,Discover,6011167115545684,Alfred Madison,133,11/2016,11/2020,13,6246,165400
Diners Club International,Diners Club,36263927720252,Debbie P Snider,628,03/2007,03/2016,23,6965,137600
American Express,American Express,375791523445634,Sophia Aguilar,2013,02/2009,02/2027,13,8913,199000
Japan Credit Bureau,JCB,3540497197351892,Katie Sims,542,08/2017,08/2026,8,2632,164000
Master Card,Chase,5375997172030218,Georgine H Fiore,395,03/2009,03/2028,23,7155,142100
Discover,Discover,6011117060576911,Wesley W Gaines,214,04/2009,04/2010,19,3420,196000
Visa,Citibank,4313082244282945,Sharda Ault,124,12/2007,12/2015,7,4502,105000
Visa,Chase,4337542227627160,Stephen M Davidson,404,07/2015,07/2032,8,3506,59200
Discover,Discover,6011259276981152,Alexa U Amundson,133,01/2008,01/2024,5,4118,143000
Visa,Citibank,4286272672753102,Mike Z Swanson,155,03/2017,03/2036,24,6284,40300
Japan Credit Bureau,JCB,3578194303794652,Adell Riggs,495,08/2010,08/2029,11,7151,128600
Visa,GE Capital,4335036707882017,Rosa Y Moss,24,07/2016,07/2031,4,4329,36100
Diners Club International,Diners Club,30957750815461,Lou Q Amundson,283,02/2014,02/2029,25,7833,116600
Diners Club International,Diners Club,30388333482860,Thomas R Rowland,951,07/2012,07/2013,26,9086,73900
Visa,Chase,4973805378438623,Graham Redding,269,05/2013,05/2031,19,9402,21400
American Express,U.S. Bancorp,371895314665930,Marilyn W Schneider,1672,08/2008,08/2020,23,8107,43800
Discover,Discover,6011839305694833,Isabella Robles,402,09/2007,09/2018,6,7408,132200
Master Card,Bank of America,5343839624586604,Frank Brown,705,08/2010,08/2020,2,130,149000
American Express,U.S. Bancorp,378684493672385,Tristan U Shank,7676,06/2013,06/2025,8,9466,49000
Master Card,Chase,5155980493793033,Eugene W Peters,429,03/2008,03/2011,9,826,10300
Japan Credit Bureau,JCB,3571486291437055,Jon T Hoyt,795,07/2010,07/2027,7,3014,132600
American Express,Bank of America,346338206571686,Dolores L Pierce,7245,04/2013,04/2028,20,4526,115600
Diners Club International,Diners Club,30921583711487,Zelda Beard,612,01/2016,01/2025,8,5139,103000
Japan Credit Bureau,JCB,3552908747595957,Stanley X Puckett,212,02/2016,02/2023,15,9729,35100
American Express,American Express,378720528234344,Chi B Clemons,1031,12/2016,12/2031,8,1043,116200
Japan Credit Bureau,JCB,3578564172450174,Francisco A Cobb,1,12/2017,12/2021,21,8722,38400
Visa,Chase,4463863196974185,Dina H Coe,704,01/2007,01/2022,22,199,190800
American Express,American Express,379038903123126,Christine A Kim,8555,08/2014,08/2024,12,4102,59800
Discover,Discover,6011083442530143,Irena Y Benitez,89,12/2015,12/2018,15,1765,174900
Diners Club International,Diners Club,30018927763520,Mary B Salazar,423,07/2013,07/2018,16,7536,81200
American Express,American Express,370581674607206,Lucien C Elam,6449,01/2011,01/2017,3,3319,23300
Diners Club International,Diners Club,30174145339708,Jesus G Mosley,158,08/2013,08/2027,13,8552,156300
American Express,U.S. Bancorp,344982324889975,Ninfa J Carl,7598,10/2011,10/2012,19,9481,10200
Japan Credit Bureau,JCB,3557118525837622,April W Kane,918,10/2014,10/2018,19,3686,58300
American Express,American Express,345372455132271,Hilda P Hughey,217,06/2009,06/2019,5,9471,169800
Discover,Discover,6506681952194598,Bertha Gutierrez,925,12/2010,12/2028,4,8791,101700
American Express,American Express,378044228608545,Flora G Wilde,8516,12/2010,12/2019,6,5184,17500
Diners Club International,Diners Club,30434997731935,Lillian J Strong,974,05/2011,05/2024,16,9822,173700
Diners Club International,Diners Club,30930286266780,Sandy Spurgeon,475,10/2013,10/2027,7,3831,29600
Visa,Cabela�s WFB,4485487427182378,Martha Crane,324,12/2013,12/2023,28,9913,141800
Diners Club International,Diners Club,30038499424954,Debbi K Nutt,535,01/2007,01/2026,18,1711,136200
Master Card,Citibank,5132110273971363,Elsie K Dyer,775,03/2013,03/2018,15,3055,98100
Diners Club International,Diners Club,30927023456005,Byron V Molina,590,10/2010,10/2023,25,8186,32600
American Express,American Express,378873168138091,Lewis K Navarro,3351,06/2008,06/2023,19,7182,91400
Diners Club International,Diners Club,30094213643742,Aja E Reinhart,484,04/2009,04/2014,1,1402,78900
American Express,American Express,345482262918414,Dustin U Hood,1547,10/2017,10/2025,3,1993,183000
Japan Credit Bureau,JCB,3581402231491209,Rico Lopes,512,07/2011,07/2018,3,9842,86400
Japan Credit Bureau,JCB,3566315949871059,Carl Nixon,5,07/2007,07/2012,11,9305,192200
Japan Credit Bureau,JCB,3567055375294892,Barrie T Holm,730,09/2017,09/2022,27,6254,177500
Visa,Bank of America,4554431729656529,Cheryl H Abbott,418,04/2007,04/2015,14,6267,62200
Japan Credit Bureau,JCB,3550776732304509,Felipe L Fulcher,203,07/2017,07/2019,26,3028,161200
Diners Club International,Diners Club,30332071354584,Chris Z Spears,796,06/2017,06/2032,13,4222,118100
Diners Club International,Diners Club,30973055647772,Classie S Ledesma,525,03/2013,03/2014,13,580,186600
Japan Credit Bureau,JCB,3534528667209026,Nathan F Lindsay,418,11/2008,11/2024,8,8566,151500
Master Card,Chase,5134633200135479,Lynn T Derrick,896,08/2015,08/2033,28,2804,161800
American Express,American Express,343380242034314,Hector Boone,9849,10/2017,10/2035,7,7378,118900
American Express,American Express,343661106274991,Jolie Roche,6031,07/2016,07/2027,12,6162,34400
Visa,Chase,4070320407737195,Roberto Lawrence,742,09/2014,09/2016,17,9166,154900
Master Card,Capital One,5394023119777345,Kathaleen U Beach,377,09/2010,09/2023,15,1464,37800
Discover,Discover,6011635040233121,Julie I Stephens,133,07/2008,07/2022,9,2513,119700
Discover,Discover,6011580801966594,Rodney M Baumgardner,809,09/2011,09/2030,6,9910,52200
Discover,Discover,6011784352526068,Bobby K Figueroa,136,09/2014,09/2025,8,2963,88900
American Express,American Express,346729430581311,Marcela H Randall,5659,07/2007,07/2016,17,7447,131300
Master Card,GE Capital,5307159557874719,Russell Y Ferguson,782,01/2009,01/2028,25,4937,199700
Japan Credit Bureau,JCB,3569352864976180,Wally K Hyde,321,04/2010,04/2026,11,4017,109100
Master Card,Chase,5304553266412907,Marcus M Adams,472,12/2016,12/2020,12,9004,24900
Visa,First National,4261078980585220,Lynn X Snell,368,05/2017,05/2020,15,6740,50600
Master Card,USAA,5491144129180817,Rita H Gaines,450,06/2013,06/2031,9,7315,167300
Master Card,Bank of America,5320258700390897,Refugio Y Dewey,55,06/2012,06/2014,23,8616,126800
Visa,U.S. Bancorp,4184532246624177,Eugene Rivas,243,03/2010,03/2016,4,2515,67400
Visa,GE Capital,4718949222189428,Lupe N Dowdy,851,11/2016,11/2017,16,6785,63700
Visa,GE Capital,4197737149602692,Amanda Y Burke,235,06/2011,06/2018,4,7945,133300
American Express,U.S. Bancorp,372124158523090,Josephine Y Baez,5958,10/2007,10/2023,3,6934,70100
American Express,American Express,372186276241376,Troy Howard,4764,05/2016,05/2036,15,9438,191500
Master Card,U.S. Bancorp,5133940187254954,Huong J Doughty,553,01/2008,01/2012,25,2885,67700
American Express,American Express,342709576837721,Vincent N Mosley,3551,12/2016,12/2030,1,1542,181100
Japan Credit Bureau,JCB,3533327882583492,Slyvia P Ragan,663,12/2015,12/2022,2,2952,175600
Diners Club International,Diners Club,30500329232501,Christina W Miles,219,09/2016,09/2036,28,3456,126400
Visa,Chase,4754938970768710,Hope E Westmoreland,660,02/2008,02/2014,22,7111,125900
Discover,Discover,6011051708036824,Theodore H Allen,249,02/2008,02/2022,13,2518,84600
American Express,Bank of America,346815368238808,Barbera Y Isaac,3295,09/2007,09/2020,14,1558,87800
American Express,USAA,349793350491932,Chris O Vincent,256,01/2014,01/2034,22,5531,48100
Diners Club International,Diners Club,30436556463545,Kizzie U Cullen,705,09/2012,09/2024,6,9708,103000
Visa,PNC,4966721347451028,Benjamin B Durham,742,01/2007,01/2026,2,765,24300
Master Card,Barclays,5446267294409350,Jon T Unger,830,03/2016,03/2025,13,1205,132900
Master Card,U.S. Bancorp,5192042305880832,Paul Gentry,475,03/2016,03/2028,21,5928,177700
Visa,Chase,4620184000202113,Emmanuel Menard,30,03/2017,03/2028,6,3001,107400
Visa,Chase,4960474675943648,Margaret F Huber,360,01/2012,01/2031,21,9932,19500
Discover,Discover,6222161144750568,Shawnna Sutherland,328,09/2011,09/2017,11,9066,169600
Discover,Discover,6011887174281257,Brenda J Skinner,814,09/2013,09/2020,6,8753,48400
Diners Club International,Diners Club,30189987838203,Fern Nagel,916,06/2009,06/2026,7,7800,30800
Master Card,Chase,5431955077219015,Christine I Lewis,209,10/2015,10/2024,19,8212,169400
Visa,Chase,4419288199688688,Herlinda Z Garner,450,01/2010,01/2026,24,8692,197500
Japan Credit Bureau,JCB,3554875516961066,Dolores L Meyers,775,10/2017,10/2024,12,8979,100200
Japan Credit Bureau,JCB,3571636721717845,Jay J Ragsdale,845,09/2014,09/2029,2,2310,85900
Diners Club International,Diners Club,30187816439268,Diane F Berger,165,01/2017,01/2032,21,1618,180200
American Express,USAA,372611393020973,Scarlet E Rudd,9087,04/2008,04/2009,5,167,64000
Diners Club International,Diners Club,30484584831523,Douglas P Donaldson,307,11/2008,11/2016,2,1980,90900
Diners Club International,Diners Club,39718191441049,Gregorio P Wyman,554,11/2008,11/2022,12,3534,60900
Visa,Citibank,4257373432200247,Theodore U Hester,958,07/2011,07/2023,5,9767,81800
Visa,U.S. Bancorp,4703812698381621,Valeri Bunker,984,01/2013,01/2033,22,2763,167100
American Express,U.S. Bancorp,379325886866437,Lynn Mccray,5564,09/2015,09/2023,25,5563,25600
Master Card,Chase,5486260902456963,Abraham M Watt,978,08/2007,08/2024,15,1178,142100
Master Card,Capital One,5305800064606787,Debbie Kelly,808,12/2010,12/2011,13,4162,39600
Visa,Bank of America,4740102785305245,Nguyet V Pollock,429,02/2016,02/2034,7,98,116800
Visa,Chase,4835065253598276,Beverly C Hampton,279,01/2008,01/2009,22,4495,183800
Japan Credit Bureau,JCB,3579763397212398,Kacie L Dunn,944,08/2011,08/2021,7,4061,73500
Master Card,Bank of America,5442850002427097,Stanley I Church,967,07/2014,07/2030,13,8970,25900
Discover,Discover,6011367340675716,Tim Frasier,916,05/2008,05/2009,2,7795,103800
Diners Club International,Diners Club,30011199446007,Susan Bauer,122,01/2016,01/2024,2,7540,52600
American Express,American Express,348287501812352,Migdalia Hamby,2481,10/2007,10/2008,4,9021,74400
Diners Club International,Diners Club,30264729591301,Yolanda U Hahn,104,05/2011,05/2023,21,4307,107200
Master Card,Citibank,5414551933199219,Chloe Y Levin,803,07/2015,07/2023,14,3632,35300
Visa,Chase,4992470950089489,Beatrice U Harrell,180,03/2011,03/2017,1,6985,160000
Diners Club International,Diners Club,30364144760737,Shana M Dick,645,01/2015,01/2033,27,2318,94300
Visa,Chase,4028706307504474,Dean F Raymond,832,06/2017,06/2036,13,2017,19700
Discover,Discover,6464319963708672,Annett Y Amato,817,12/2008,12/2010,11,202,48900
Visa,Capital One,4716078002432816,Virginia M Cohen,658,12/2013,12/2026,18,676,152500
Master Card,Capital One,5308767822561777,Brigid X Snell,532,04/2014,04/2029,9,3542,64600
Diners Club International,Diners Club,30228133718735,Gladys Wolfe,799,11/2015,11/2021,24,3953,123100
Visa,Chase,4214307304094934,Dorinda E Sexton,113,04/2015,04/2029,24,69,123500
Japan Credit Bureau,JCB,3538602667528416,Jessica A Kinney,876,03/2009,03/2028,17,6546,152700
American Express,American Express,347253356175312,Sheron Gerald,843,07/2013,07/2018,22,2020,199400
American Express,American Express,374570705350742,Joan Y Abbott,7258,11/2010,11/2029,21,2761,119800
